ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,STATUS_Cancelled,STATUS_Disputed,STATUS_In Process,STATUS_On Hold,STATUS_Resolved,STATUS_Shipped,DEALSIZE_Large,DEALSIZE_Medium,DEALSIZE_Small,PRICE_PER_UNIT,HIGH_QUANTITY
10107,30,95.7,2,0.2038657085238731,2003-02-24,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,False,False,False,False,False,True,False,False,True,0.006795523617462437,False
10121,34,81.35,5,0.19640270400772575,2003-05-07,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,Unknown,51100,France,EMEA,Henriot,Paul,False,False,False,False,False,True,False,False,True,0.005776550117874287,False
10134,41,94.74,2,0.27582156957423243,2003-07-01,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,Unknown,75508,France,EMEA,Da Cunha,Daniel,False,False,False,False,False,True,False,True,False,0.006727355355469084,True
10145,45,83.26,6,0.2660479450109353,2003-08-25,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,False,False,False,False,False,True,False,True,False,0.0059121765557985624,True
10159,49,100.0,14,0.3696189678188997,2003-10-10,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,False,False,False,False,False,True,False,True,False,0.007543244241202034,True
10168,36,96.66,1,0.24709290766040848,2003-10-28,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,False,False,False,False,False,True,False,True,False,0.006863691879455791,False
10180,29,86.13,9,0.1773631664157696,2003-11-11,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,Unknown,59000,France,EMEA,Rance,Martine,False,False,False,False,False,True,False,False,True,0.0061159712557161934,False
10188,48,100.0,1,0.3914221603658363,2003-11-18,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,Unknown,N 5804,Norway,EMEA,Oeztan,Veysel,False,False,False,False,False,True,False,True,False,0.008154628340954923,True
10201,22,98.57,2,0.15398500298236148,2003-12-01,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,False,False,False,False,False,True,False,False,True,0.006999318317380068,False
10211,41,100.0,14,0.3343397619791519,2004-01-15,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,Unknown,75016,France,EMEA,Perrier,Dominique,False,False,False,False,False,True,False,True,False,0.008154628340954925,True
10223,37,100.0,1,0.2815959894339194,2004-02-20,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,False,False,False,False,False,True,False,True,False,0.007610702417132956,False
10237,23,100.0,7,0.165671599397847,2004-04-05,2,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,False,False,False,False,False,True,False,False,True,0.007203113017297696,False
10251,28,100.0,2,0.22642088221092396,2004-05-18,2,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,False,False,False,False,False,True,False,True,False,0.00808646007896157,False
10263,34,100.0,2,0.26108160309029455,2004-06-28,2,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,False,False,False,False,False,True,False,True,False,0.00767887067912631,False
10275,45,92.83,1,0.2966278012895163,2004-07-23,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,Unknown,44000,France,EMEA,Labrune,Janine,False,False,False,False,False,True,False,True,False,0.006591728917544807,True
10285,36,100.0,6,0.29111256284261655,2004-08-27,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,False,False,False,False,False,True,False,True,False,0.00808646007896157,False
10299,23,100.0,9,0.18443704376970488,2004-09-30,3,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,Unknown,21240,Finland,EMEA,Karttunen,Matti,False,False,False,False,False,True,False,False,True,0.008019001903030646,False
10309,41,100.0,5,0.31203879910245125,2004-10-15,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,Unknown,4110,Norway,EMEA,Bergulfsen,Jonas,False,False,False,False,False,True,False,True,False,0.007610702417132957,True
10318,46,94.74,1,0.3094583463515778,2004-11-02,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,False,False,False,False,False,True,False,True,False,0.006727355355469083,True
10329,42,100.0,1,0.3121637742494391,2004-11-15,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,False,False,False,False,False,True,False,True,False,0.007432470815462835,True
10341,41,100.0,9,0.5494596245064902,2004-11-24,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,Unknown,5020,Austria,EMEA,Pipps,Georg,False,False,False,False,False,True,True,False,False,0.013401454256255859,True
10361,20,72.55,13,0.10303348765870424,2004-12-17,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,False,False,False,False,False,True,False,False,True,0.0051516743829352115,False
10375,21,34.91,12,0.05205711932286194,2005-02-03,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,Unknown,44000,France,EMEA,Labrune,Janine,False,False,False,False,False,True,False,False,True,0.0024789104439458067,False
10388,42,76.36,4,0.227733121254296,2005-03-03,1,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,False,False,False,False,False,True,False,True,False,0.005422217172721334,True
10403,24,100.0,7,0.1728747124151447,2005-04-08,2,4,2005,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,Unknown,WX1 6LT,UK,EMEA,Devon,Elizabeth,False,False,False,False,False,True,False,False,True,0.007203113017297696,False
10417,66,100.0,2,0.5337063652114636,2005-05-13,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,Unknown,28034,Spain,EMEA,Freyre,Diego,False,True,False,False,False,False,True,False,False,0.00808646007896157,True
10103,26,100.0,11,0.38377453347345697,2003-01-29,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,Unknown,4110,Norway,EMEA,Bergulfsen,Jonas,False,False,False,False,False,True,False,True,False,0.014760558979748345,False
10112,29,100.0,1,0.5119088533530264,2003-03-24,1,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,,Lule,Unknown,S-958 22,Sweden,EMEA,Berglund,Christina,False,False,False,False,False,True,True,False,False,0.01765202942596643,False
10126,38,100.0,11,0.5204263356718835,2003-05-28,2,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,Unknown,28023,Spain,EMEA,Sommer,Mart¡n,False,False,False,False,False,True,True,False,False,0.013695429886102195,False
10140,37,100.0,11,0.5236245632970716,2003-07-24,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,False,False,False,False,False,True,True,False,False,0.014152015224245178,False
10150,45,100.0,8,0.7806331127332633,2003-09-19,3,9,2003,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Unknown,79903,Singapore,Japan,Natividad,Eric,False,False,False,False,False,True,True,False,False,0.01734740250518363,True
10163,21,100.0,1,0.3451188684068509,2003-10-20,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,False,False,False,False,False,True,False,True,False,0.016434231828897663,False
10174,34,100.0,4,0.5691211974891357,2003-11-06,4,11,2003,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,False,False,False,False,False,True,True,False,False,0.016738858749680462,False
10183,23,100.0,8,0.38149870764336635,2003-11-13,4,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,False,False,False,False,False,True,False,True,False,0.016586900332320277,False
10194,42,100.0,11,0.5176783026102764,2003-11-25,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,Unknown,69004,France,EMEA,Saveley,Mary,False,False,False,False,False,True,True,False,False,0.012325673871673246,True
10206,47,100.0,6,0.6436852046468032,2003-12-05,4,12,2003,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,False,False,False,False,False,True,True,False,False,0.013695429886102197,True
10215,35,100.0,3,0.4313985855085637,2004-01-29,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,,Thompson,Steve,False,False,False,False,False,True,False,True,False,0.012325673871673248,False
10228,29,100.0,2,0.4589449541284404,2004-03-10,1,3,2004,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,,Tseng,Kyung,False,False,False,False,False,True,False,True,False,0.015825688073394496,False
10245,34,100.0,9,0.43459681313375187,2004-05-04,2,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,False,False,False,False,False,True,False,True,False,0.012782259209816231,False
10258,32,100.0,6,0.5453915414548244,2004-06-15,2,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,False,False,False,False,False,True,True,False,False,0.017043485670463262,False
10270,21,100.0,9,0.34832490697872587,2004-07-19,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,False,False,False,False,False,True,False,True,False,0.01658690033232028,False
10280,34,100.0,2,0.5691211974891357,2004-08-17,3,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,Unknown,10100,Italy,EMEA,Accorti,Paolo,False,False,False,False,False,True,True,False,False,0.016738858749680462,False
10291,37,100.0,11,0.5067309057857813,2004-09-08,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,Unknown,S-844 67,Sweden,EMEA,Larsson,Maria,False,False,False,False,False,True,True,False,False,0.013695429886102197,False
10304,47,100.0,6,0.722349248728946,2004-10-11,4,10,2004,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,Unknown,78000,France,EMEA,Tonini,Daniel,False,False,False,False,False,True,True,False,False,0.015369132951679703,True
10312,48,100.0,3,0.8253827363876503,2004-10-21,4,10,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,False,False,False,False,False,True,True,False,False,0.017195473674742712,True
10322,40,100.0,1,0.4260800409009572,2004-11-04,4,11,2004,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,False,False,False,False,False,True,False,True,False,0.01065200102252393,False
10333,26,100.0,3,0.21323884454795922,2004-11-18,4,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,False,False,False,False,False,True,False,True,False,0.008201494021075355,False
10347,30,100.0,1,0.28010764904706453,2004-11-29,4,11,2004,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,False,False,False,False,False,True,False,True,False,0.009336921634902151,False
10357,32,100.0,10,0.40416962535859347,2004-12-10,4,12,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,False,False,False,False,False,True,False,True,False,0.012630300792456046,False
10369,41,100.0,2,0.3205981764989917,2005-01-20,1,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,False,False,False,False,False,True,False,True,False,0.007819467719487602,True
10381,36,100.0,3,0.5861618428153492,2005-02-17,1,2,2005,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,False,False,False,False,False,True,True,False,False,0.016282273411537478,False
10391,24,100.0,4,0.17159655750276934,2005-03-09,1,3,2005,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,False,False,False,False,False,True,False,False,True,0.007149856562615389,False
10411,23,100.0,9,0.29399196182577325,2005-05-01,2,5,2005,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,False,False,False,False,False,True,False,True,False,0.012782259209816228,False
10424,50,100.0,6,0.852174283523163,2005-05-31,2,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,Unknown,28034,Spain,EMEA,Freyre,Diego,False,False,True,False,False,False,True,False,False,0.017043485670463262,True
